"participant","condition","condition_numeric","session_number","gender","age","rand_int","rand_slope_cond","rand_slope_order","error_term","time"
"p19","support",1,2,"male","15",-2.00877154825868,-0.141715207644865,-2.0478281908776,-0.14069319478872,4.11316366755254
"p20","control",0,1,"male","15",-1.77849286062636,-1.2512726961227,1.2803231243835,0.0302881368310574,7.03211840058819
"p20","support",1,2,"male","15",-1.77849286062636,-1.2512726961227,1.2803231243835,-0.0697176312824303,9.96116306073551
"p21","control",0,1,"male","15",-2.58367157027478,-0.693666372465025,1.6345933841808,0.121103200861592,6.67202501476762
"p21","support",1,2,"male","15",-2.58367157027478,-0.693666372465025,1.6345933841808,-0.0319179378031469,10.4599308878187
"p22","control",0,1,"female","15",1.47630238373368,0.245516373898946,-0.67203179145977,0.0716756305320646,8.37594622280597
"p22","support",1,2,"female","15",1.47630238373368,0.245516373898946,-0.67203179145977,0.000607823681165806,10.8783629983943
"p23","control",0,2,"male","16",2.30160895873378,-1.68079664357723,-0.275691623210974,-0.10393870798388,10.6462870043279
"p23","support",1,1,"male","16",2.30160895873378,-1.68079664357723,-0.275691623210974,0.0385799112424329,9.383700603188
"p24","control",0,2,"female","17",0.591421223166736,-0.142850400125233,0.66084855129627,-0.0482213372357485,10.8648969885235
"p24","support",1,1,"female","17",0.591421223166736,-0.142850400125233,0.66084855129627,-0.217202881492161,9.89221649284561
"p25","control",0,2,"male","16",2.86596869098749,0.326197477873424,-0.255071266629669,0.18600417712784,11.541830334856
"p25","support",1,1,"male","16",2.86596869098749,0.326197477873424,-0.255071266629669,0.0700155716799209,12.0071104739112
